identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year
3040157,A1209,1958/6148,Belgian Congo - Economic and political reports,1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,22 Jan 2020,2020-01-22,Withheld pending adv,2020
3042340,A1209,1959/164,Burma - Political and economic reports 1959,1959 - 1959,1959-01-01,1959-01-01,Canberra,Closed,01 Jul 2020,2020-07-01,Withheld pending adv,2020
3043095,A1209,1960/111,Burma - Political and economic reports 1960,1960 - 1960,1960-01-01,1960-01-01,Canberra,Closed,28 Jan 2020,2020-01-28,Withheld pending adv,2020
3043260,A1209,1960/929,General Nasution visit to Australia,1960 - 1960,1960-01-01,1960-01-01,Canberra,Closed,02 Apr 2020,2020-04-02,Withheld pending adv,2020
3051413,A1209,1968/9986 PART 1,Supply of arms and military equipment to South Africa,1968 - 1968,1968-01-01,1968-01-01,Canberra,Closed,23 Jun 2020,2020-06-23,Withheld pending adv,2020
3054115,A1209,1969/9056,"[National Times articles on Prime Minister William McMahon, September 1971]",1953 - 1971,1953-01-01,1971-01-01,Canberra,Closed,02 Sep 2020,2020-09-02,Withheld pending adv,2020
3094905,A703,582/5/181,Development of Australian Joint Service operational concept.,1968 - 1969,1968-01-01,1969-01-01,Canberra,Closed,16 Mar 2020,2020-03-16,Withheld pending adv,2020
3108718,A1838,TS3014/2/1 PART 2,South Vietnam - Political general [271pp],1961 - 1963,1961-01-01,1963-01-01,Canberra,Closed,09 Nov 2020,2020-11-09,33(1)(a)|33(1)(b)|Withheld pending adv,2020
3114919,A10870,AMM77,"Weekly Political Intelligence Summaries produced by Research Department, British Foreign Office (containing summaries of political developments in countries throughout the world)  [Contains  - Summary No 325 dated 2 January 1946 to Summary No 328 dated 23 January 1946]",Jan 1946 - Jan 1946,1946-01-01,1946-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
3124426,A452,1973/2854,Papua New Guinea Defence Legislation [6cms],1973 - 1974,1973-01-01,1974-01-01,Canberra,Closed,28 Jan 2020,2020-01-28,Withheld pending adv,2020
3161339,A5882,CO133 PART 4,Australian Defence aid to Singapore/Malaysia - 1968 - [4.0cm],Apr 1971 - Jun 1972,1971-04-01,1972-06-01,Canberra,Closed,16 Jan 2020,2020-01-16,Withheld pending adv,2020
3178444,A5954,2317/1,Defence Programme and procurement overseas of material requirement,1952 - 1952,1952-01-01,1952-01-01,Canberra,Closed,08 Sep 2020,2020-09-08,Withheld pending adv,2020
3341096,A1838,1622/12/2 PART 2,Passport policy - Minutes of Passport Working Group Meeting,1975 - 1980,1975-01-01,1980-01-01,Canberra,Closed,20 Oct 2020,2020-10-20,Withheld pending adv,2020
3341196,A1838,1634/70/2 PART 33,Australian immigration policy - Refugees from South Vietnam - Political refugees,1978 - 1978,1978-01-01,1978-01-01,Canberra,Closed,08 Oct 2020,2020-10-08,Withheld pending adv,2020
3352625,A1838,1500/1/24/2/2 PART 13,Diplomatic representatives in Australia - Protection of diplomatic and consular premises - Yugoslavia,1972 - 1976,1972-01-01,1976-01-01,Canberra,Closed,18 Aug 2020,2020-08-18,Withheld pending adv,2020
3363919,A1838,1500/1/110/2 PART 2,Diplomatic representatives in Australia - Libya - List of staff [includes Libyan threat to Uk interests],1983 - 1984,1983-01-01,1984-01-01,Canberra,Closed,08 Oct 2020,2020-10-08,Withheld pending adv,2020
4029976,A1945,248/4/55 PART 3,Review of Internal Security in South Vietnam - Military implications.  File No. 3,1961 - 1962,1961-01-01,1962-01-01,Canberra,Closed,28 Oct 2020,2020-10-28,33(1)(a)|33(1)(b)|Withheld pending adv,2020
4087143,F1,1970/4668,Medical reports,1970 - 1971,1970-01-01,1971-01-01,Darwin,Closed,12 Feb 2020,2020-02-12,33(1)(g),2020
4209027,A4359,201/2/1 PART 4,[Jakarta] - Political situation - General,1962 - 1963,1962-01-01,1963-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
4209557,A10463,822/1/1 PART 2,Jakarta - Defence co-operation,1973 - 1980,1973-01-01,1980-01-01,Canberra,Closed,14 Dec 2020,2020-12-14,Withheld pending adv,2020
4220002,A11604,500/1 PART 2,[Jakarta] - Indonesian economic situation - General,1957 - 1959,1957-01-01,1959-01-01,Canberra,Closed,26 Nov 2020,2020-11-26,Withheld pending adv,2020
4814002,B2945,2/701/259 PART 1,Terrorist Activities,1973 - 1988,1973-01-01,1988-01-01,Melbourne,Closed,05 May 2020,2020-05-05,Withheld pending adv,2020
4982146,M3787,47,[Personal Papers of Prime Minister Gorton] Defence vote 1971/72 (Part 2),15 Jul 1970 - 23 Jul 1971,1970-07-15,1971-07-23,Canberra,Closed,09 Oct 2020,2020-10-09,Withheld pending adv,2020
5248526,M4437,25,"United Kingdom, Austria, Bosnia, Croatia [3 to 24 July 1997] â€“ briefings",Jun 1996 - Jul 1996,1996-06-01,1996-07-01,Canberra,Closed,25 Nov 2020,2020-11-25,Withheld pending adv,2020
5265154,A2539,B1972/55,Record of First Annual Australian - Indonesian Official Consultations - Djakarta 28-29 August 1972,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,Withheld pending adv,2020
5265155,A2539,B1972/56,Joint Committee on Foreign Affairs Interim Report on Australias Relations with Indonesia October 1972,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,Withheld pending adv,2020
5265159,A2539,B1973/25,Official Record Australia Second Indonesia Officials Talks - Canberra 6-7 November 1973,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,Withheld pending adv,2020
5265165,A2539,B1973/32,Confidential Report of the Australian Delegation to the Sixth Session of the Enlarged Committee on the Peaceful Uses of the Seabed at the UN Headquarters - New York July - August 1973,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,30 Jul 2020,2020-07-30,Withheld pending adv,2020
5265205,A2539,B1975/27,Law of the Sea Task Force Documents 1 to 35 1975,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,07 Aug 2020,2020-08-07,Withheld pending adv,2020
5265207,A2539,B1975/29,Law of the Sea Task Force Documents 77 to 92 1975,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,07 Aug 2020,2020-08-07,Withheld pending adv,2020
5265338,A2539,B1988/30,Brief for 8th Special Antarctic Treaty Consultative Meeting - Paris 20-22 September 1988,1988 - 1988,1988-01-01,1988-01-01,Canberra,Closed,23 Sep 2020,2020-09-23,Withheld pending adv,2020
5507334,A750,1987/290,Intelligence Records: Access Policy,03 Apr 1987 - 24 Oct 2000,1987-04-03,2000-10-24,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
5825561,A5799,44/1958 SUPPLEMENT 1,"Report of Australia, New Zealand and the US Military Staff Planners Meeting, Sangley Point - March 1958",1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,02 Jun 2020,2020-06-02,Withheld pending adv,2020
5825562,A5799,44/1958 SUPPLEMENT 2,"Australia, New Zealand and the US Military Staff Planners Meeting, Sangley Point - March 1958",1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,02 Jun 2020,2020-06-02,Withheld pending adv,2020
5825968,A2031,60/1958,"Australia, New Zealand and the United States Military Staff Planners Meeting - Sangley Point, March 1958",1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,02 Jun 2020,2020-06-02,Withheld pending adv,2020
5830241,A2539,B1976/25,Law of the Sea Task Force documents 139-157 1976,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,06 Aug 2020,2020-08-06,Withheld pending adv,2020
5830242,A2539,B1976/26,Law of the Sea Task Force documents 157 rev 2-163 1976,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,06 Aug 2020,2020-08-06,Withheld pending adv,2020
5845355,A2539,B1972/22,Documents (including Cabinet documents) dealing with Law of the Sea - Australian Policy,1972 - 1972,1972-01-01,1972-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,Withheld pending adv,2020
5845361,A2539,B1973/57,Background Notes for Australian-Indonesian Officials Consultations 6-7 November 1973,1973 - 1973,1973-01-01,1973-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
5845362,A2539,B1973/58,Briefing Notes for the Minister for Foreign Affairs Mr Bill Hayden MP visit to Indonesia 25-28 November 1983,1983 - 1983,1983-01-01,1983-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
5845367,A2539,B1974/12,Official Record - Third Australian-Indonesian Officials Talks - Jakarta 29-30 October 1974,1974 - 1974,1974-01-01,1974-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
5845385,A2539,B1976/71,Briefing Notes for the Prime Minister of Australia - Visit to Indonesia 7-11 October 1976,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,28 Sep 2020,2020-09-28,Withheld pending adv,2020
5845386,A2539,B1976/72,Background Notes - Visit to Indonesia by Australian Minister for Foreign Affairs - 19-20 January 1976,1976 - 1976,1976-01-01,1976-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
5845388,A2539,B1977/23,Brief for Australian Delegation to Officials Discussions with Papua New Guinea on the Handling of Proclamations of 200 mile zones - Port Moresby 19-21 December 1977,1977 - 1977,1977-01-01,1977-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
5845394,A2539,B1978/29,Brief for the Minister for Foreign Affairs the Honourable Andrew Peacock for Ministerial Discussions in Port Moresby on 200 mile Maritime Zones - 3-5 February 1978,1978 - 1978,1978-01-01,1978-01-01,Canberra,Closed,30 Jul 2020,2020-07-30,Withheld pending adv,2020
5845403,A2539,B1979/98,Prime Ministers Discussions with President Soeharto - Bali 11-12 May 1979,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,31 Jul 2020,2020-07-31,Withheld pending adv,2020
5984786,B662,1971/1817,United Nations Law of Sea Third Conference,1971 - 1971,1971-01-01,1971-01-01,Melbourne,Closed,06 Apr 2020,2020-04-06,Withheld pending adv,2020
6930028,A7452,A11,Australia defence attitude to [Portion of title exempt],1969 - 1969,1969-01-01,1969-01-01,Canberra,Closed,27 May 2020,2020-05-27,Withheld pending adv,2020
6930055,A7452,A51,Ombudsman jurisdiction over intelligence organisations,1977 - 1977,1977-01-01,1977-01-01,Canberra,Closed,24 Nov 2020,2020-11-24,Withheld pending adv,2020
6930160,A7452,A101 PART 2,Intelligence and security matters: Briefing of ministers and their staff,1983 - 1994,1983-01-01,1994-01-01,Canberra,Closed,23 Jun 2020,2020-06-23,Withheld pending adv,2020
6930306,A7452,A267,History of Australian intelligence,1977 - 1984,1977-01-01,1984-01-01,Canberra,Closed,11 Mar 2020,2020-03-11,Withheld pending adv,2020
6930368,A7452,A358,Cold War intelligence studies,1959 - 1959,1959-01-01,1959-01-01,Canberra,Closed,27 May 2020,2020-05-27,Withheld pending adv,2020
6930402,A7452,A401 PART 1,RCIS - 4th report - schedule of implementation of recommendations,1983 - 1983,1983-01-01,1983-01-01,Canberra,Closed,25 Jun 2020,2020-06-25,Withheld pending adv,2020
6930403,A7452,A401 PART 2,RCIS - 4th report - schedule of implementation of recommendations,1983 - 1983,1983-01-01,1983-01-01,Canberra,Closed,27 May 2020,2020-05-27,Withheld pending adv,2020
6930404,A7452,A401 PART 3,RCIS - 4th report - schedule of implementation of recommendations,1983 - 1984,1983-01-01,1984-01-01,Canberra,Closed,11 Mar 2020,2020-03-11,Withheld pending adv,2020
6930405,A7452,A402,RCIS - 5th report - schedule of implementation of recommendations,1983 - 1983,1983-01-01,1983-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
6930434,A7452,A427,RCASIA final report: general report,1984 - 1984,1984-01-01,1984-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
6930482,A7452,A484,Security Committee - procedures,1985 - 1990,1985-01-01,1990-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
6930497,A7452,A516,"Article by Brian Toohey in ""The Eye"" concerning the Defence Signals Directorate (DSD) (Leak)",1987 - 1987,1987-01-01,1987-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
6930539,A7452,A565 PART 1,ONA annual reports and forward estimates,1989 - 1991,1989-01-01,1991-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
6930541,A7452,A565 PART 3,ONA annual reports and forward estimates,1992 - 1993,1992-01-01,1993-01-01,Canberra,Closed,18 Feb 2020,2020-02-18,Withheld pending adv,2020
6930542,A7452,A565 PART 4,ONA annual reports and forward estimates,1993 - 1995,1993-01-01,1995-01-01,Canberra,Closed,19 Feb 2020,2020-02-19,Withheld pending adv,2020
6930574,A7452,A600 PART 2,Intelligence reports [Portion of title exempt],1991 - 1992,1991-01-01,1992-01-01,Canberra,Closed,09 Sep 2020,2020-09-09,Withheld pending adv,2020
6930603,A7452,A630 PART 3,Report by SCIS on the Australian Intelligence Community in a changing international environment (background and undated papers only),1991 - 1991,1991-01-01,1991-01-01,Canberra,Closed,11 Mar 2020,2020-03-11,Withheld pending adv,2020
6930616,A7452,A635,Security Committee of Cabinet - meetings administration,1991 - 1995,1991-01-01,1995-01-01,Canberra,Closed,24 Mar 2020,2020-03-24,Withheld pending adv,2020
6930632,A7452,A658 PART 1,[Title exempt],1992 - 1993,1992-01-01,1993-01-01,Canberra,Closed,28 Aug 2020,2020-08-28,Withheld pending adv,2020
6930642,A7452,A673 PART 2,D notice concerning Australian intelligence organisations,1995 - 1995,1995-01-01,1995-01-01,Canberra,Closed,23 Jun 2020,2020-06-23,Withheld pending adv,2020
6943863,A8425,F97/127888,"Akot, Malok Bol",29 Apr 1997 - 15 Oct 1997,1997-04-29,1997-10-15,Canberra,Closed,14 Oct 2020,2020-10-14,33(1)(d)|33(1)(g),2020
6977911,A7942,B51,Possible composition of British forces in Malaysia/Singapore after 1971,1970 - 1970,1970-01-01,1970-01-01,Canberra,Closed,11 Mar 2020,2020-03-11,Withheld pending adv,2020
7010598,A2539,B1979/37,Kiribati Independence Celebrations - 12 July 1979 - Brief for the Australian Delegation,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,07 Oct 2020,2020-10-07,Withheld pending adv,2020
7037775,A2539,B1977/24,National Intelligence Estimate - Law of the Sea likelihood and implications of further expansion of national oceanic claims if a Treaty proves nonnegotiable - July 1977,1977 - 1977,1977-01-01,1977-01-01,Canberra,Closed,30 Jul 2020,2020-07-30,Withheld pending adv,2020
7037868,A2539,B1979/64,Brief for the Australian Delegation to the Officials' Talks on the delimitation of maritime boundaries between Australia and Indonesia - Canberra 14-16 February 1979,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,30 Jul 2020,2020-07-30,Withheld pending adv,2020
7037869,A2539,B1979/65,Brief for the Australian Delegation to the Officials' Talks on the delimitation of maritime boundaries between Australia and Indonesia - Jakarta 22-24 May 1979,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,30 Jul 2020,2020-07-30,Withheld pending adv,2020
7037870,A2539,B1979/66,Summary record of Officials' Talks on delimitation of maritime boundaries between Australia and Indonesia - Jakarta on 22-25 May 1979,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,Withheld pending adv,2020
7037871,A2539,B1979/67,Summary of the first and second rounds of seabed negotiations with Indonesia first round - 14-16 February 1979,1979 - 1979,1979-01-01,1979-01-01,Canberra,Closed,03 Aug 2020,2020-08-03,Withheld pending adv,2020
7052025,E1477,lc 135  : 135,"Warlmanpa (Muckaty Pastoral Lease) Land Claim number 135
Restricted : Men Only : Transcripts, 24 July 1993, pages 1 to 21",1993 - 1993,1993-01-01,1993-01-01,Darwin,Closed,07 May 2020,2020-05-07,33(1)(d),2020
7062140,B2455,WOODS J P EXTRACT COPY,Woods James Park : SERN 3244A : POB Gawler SA : POE Perth WA : NOK B Woods William James,1914 - 1920,1914-01-01,1920-01-01,Darwin,Closed,19 May 2020,2020-05-19,Destroyed,2020
7062141,B2455,LASSETER L H,Lasseter Lewis Hubert : SERN DEPOT : POB Meredith VIC : POE Warragul VIC : NOK W Lasseter Florence E [COPY],1914 - 1920,1914-01-01,1920-01-01,Darwin,Closed,19 May 2020,2020-05-19,Destroyed,2020
7115834,A6980,S250706,Procedure for checking Communist country APP - Czech asylum cases,1964 - 1970,1964-01-01,1970-01-01,Canberra,Closed,09 Sep 2020,2020-09-09,33(1)(a)|Withheld pending adv,2020
7115853,A6980,S250731,Security Checking Brazil and Paraguay,1966 - 1975,1966-01-01,1975-01-01,Canberra,Closed,27 Feb 2020,2020-02-27,Withheld pending adv,2020
7124666,A6980,S250167,Commercial Officers on Staff of Czechoslovak Consulate General Sydney - application for political asylum,1970 - 1970,1970-01-01,1970-01-01,Canberra,Closed,09 Sep 2020,2020-09-09,33(1)(a)|33(1)(d)|33(1)(g)|Withheld pending adv,2020
7276158,A432,A1977/995,Aboriginal Land Rights (Northern Territory) Act 1976 - Application to Off-shore areas,1977 - 1977,1977-01-01,1977-01-01,Canberra,Closed,21 Jan 2020,2020-01-21,Withheld pending adv,2020
7434018,E1643,VOLUME 3,Registers recording the granting of leases in the Northern Territory on purchase on credit ( includes three entries for Plantation Leases ),1876 - 1890,1876-01-01,1890-01-01,Darwin,Closed,19 May 2020,2020-05-19,NRF,2020
7440730,A8425,F1998/35552,Abukar Solejman Ali,24 May 1998 - 02 Jul 2001,1998-05-24,2001-07-02,Canberra,Closed,09 Jun 2020,2020-06-09,33(1)(d)|33(1)(g),2020
7457986,A8425,F1998/23542,"Hercegovac, Ranko",18 Mar 1998 - 02 Aug 2000,1998-03-18,2000-08-02,Canberra,Closed,29 Jul 2020,2020-07-29,33(1)(d)|33(1)(g),2020
7458026,A8425,F1998/23892,"Hercegovac, Milivoje",08 Apr 1998 - 23 Mar 2001,1998-04-08,2001-03-23,Canberra,Closed,29 Jul 2020,2020-07-29,33(1)(d)|33(1)(g),2020
7458983,A8425,F1999/25099,"Hercegovac, Mirko",13 Oct 1999 - 04 Jan 2001,1999-10-13,2001-01-04,Canberra,Closed,29 Jul 2020,2020-07-29,33(1)(d)|33(1)(g),2020
7557984,A4531,201/7/2 PART 1,Saigon - Rand studies,19 Aug 1965 - 04 Dec 1969,1965-08-19,1969-12-04,Canberra,Closed,08 Sep 2020,2020-09-08,Withheld pending adv,2020
7896248,A1340,88/941,RUSSELL DRIVE OFFICES - SECURITY DOORS,1981 - 1988,1981-01-01,1988-01-01,Canberra,Closed,06 Jul 2020,2020-07-06,Withheld pending adv,2020
7916702,A432,1986/13627,United Kingdom Attorney-General - v - Heinman and Wright - Question of Intervention by Australia,1986 - 1986,1986-01-01,1986-01-01,Canberra,Closed,04 Sep 2020,2020-09-04,Withheld pending adv,2020
7917359,A463,1988/4066 PART 1,Space issues -  Australia and United Stated of America including NASA,07 Aug 1984 - 18 Dec 1987,1984-08-07,1987-12-18,Canberra,Closed,15 Dec 2020,2020-12-15,Withheld pending adv,2020
8126947,A2031,41/1963,"41/1963 : Appointment of Services Attaches, Burma and India : Agendum Number 27/1963 : Date of meeting - 20 June 1963",1963 - 1963,1963-01-01,1963-01-01,Canberra,Closed,17 Sep 2020,2020-09-17,Withheld pending adv,2020
8135289,A13256,201/2/1 PART 10,Vientiane - Laos internal affairs,06 Jun 1962 - 28 Aug 1962,1962-06-06,1962-08-28,Canberra,Closed,21 Aug 2020,2020-08-21,Withheld pending adv,2020
8135290,A13256,201/2/1 PART 11,Vientiane - Laos internal affairs,05 Sep 1962 - 30 May 1963,1962-09-05,1963-05-30,Canberra,Closed,08 Oct 2020,2020-10-08,Withheld pending adv,2020
8194060,A1945,255/6/31 PART 1,Organisation - Establishment of Joint Intelligence Organisation,1968 - 1969,1968-01-01,1969-01-01,Canberra,Closed,02 Jul 2020,2020-07-02,33(1)(a)|Withheld pending adv,2020
8229934,A425,1996/1744,International - Croatia - General,1996 - 1997,1996-01-01,1997-01-01,Canberra,Closed,04 Sep 2020,2020-09-04,Withheld pending adv,2020
8260312,A9737,1992/50166 PART 9,India - Australia - Political Relations,26 May 1990 - 06 Jul 1990,1990-05-26,1990-07-06,Canberra,Closed,04 Aug 2020,2020-08-04,Withheld pending adv,2020
8261077,A9737,1991/3861 PART 15,Japan - Political Developments (including Public Opinion Polls),08 Mar 1994 - 29 Apr 1994,1994-03-08,1994-04-29,Canberra,Closed,11 Sep 2020,2020-09-11,Withheld pending adv,2020
8262276,A9737,1993/60316 PART 1,Human Rights Law - Indigenous Peoples - Self Determination,15 Dec 1985 - 08 Aug 1991,1985-12-15,1991-08-08,Canberra,Closed,05 Nov 2020,2020-11-05,Withheld pending adv,2020
8262848,A9737,1992/51784 PART 1,Philippines - Relations with Iran,04 Dec 1964 - 24 Jul 1984,1964-12-04,1984-07-24,Canberra,Closed,24 Aug 2020,2020-08-24,Withheld pending adv,2020
8263432,A9737,1990/1070,Fiji Relations with Australia NPB (Nuclear Policy Branch) Considerations,09 Nov 1979 - 06 Nov 1991,1979-11-09,1991-11-06,Canberra,Closed,09 Nov 2020,2020-11-09,Closed period|Withheld pending adv,2020
8266100,A9737,1990/3652 PART 1,GDR (German Democratic Republic) - Relations with FRG (Federal Republic of Germany),04 Apr 1984 - 25 Sep 1989,1984-04-04,1989-09-25,Canberra,Closed,31 Aug 2020,2020-08-31,Withheld pending adv,2020
8266441,A9737,1990/3941 PART 3,FYROM (Former Yugoslav Republic of Macedonia) - Relations with Australia,21 Oct 1991 - 21 Jan 1992,1991-10-21,1992-01-21,Canberra,Closed,29 Jun 2020,2020-06-29,Withheld pending adv,2020
8267584,A13883,207/15/3/4,Singapore base facilities,06 Jan 1956 - 22 Sep 1964,1956-01-06,1964-09-22,Canberra,Closed,06 Apr 2020,2020-04-06,Withheld pending adv,2020
8267592,A13883,213/1/1 PART 1,Singapore defence relations with UK - withdrawal - economic consequences,26 May 1967 - 30 May 1968,1967-05-26,1968-05-30,Canberra,Closed,17 Mar 2020,2020-03-17,Withheld pending adv,2020
8267703,A13883,270/1 PART 1,Singapore Australian forces in Singapore and Malaya,06 Jan 1955 - 30 Sep 1955,1955-01-06,1955-09-30,Canberra,Closed,24 Feb 2020,2020-02-24,Withheld pending adv,2020
8267704,A13883,270/1 PART 2,Singapore Australian forces in Singapore and Malaya,02 Oct 1955 - 28 Dec 1963,1955-10-02,1963-12-28,Canberra,Closed,24 Feb 2020,2020-02-24,Withheld pending adv,2020
8267719,A13883,1209/3,Personalities - Go Keng Swee,01 Jun 1958 - 08 Oct 1989,1958-06-01,1989-10-08,Canberra,Closed,17 Dec 2020,2020-12-17,Withheld pending adv,2020
8268477,A9737,1992/50495 PART 1,ASEAN (Association of South East Asian Nations) - Relations with South Pacific Forum,13 Sep 1977 - 24 Aug 1983,1977-09-13,1983-08-24,Canberra,Closed,02 Oct 2020,2020-10-02,Withheld pending adv,2020
8268522,A9737,1992/50639 PART 1,Burma - Internal Migration and Citizenship,30 Jul 1947 - 13 Mar 1985,1947-07-30,1985-03-13,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
8268560,A9737,1992/50778,Thailand - Education of HRH (His Royal Highness) Prince Vajiralongkorn in Australia,11 Apr 1977 - 09 Apr 1987,1977-04-11,1987-04-09,Canberra,Closed,02 Oct 2020,2020-10-02,Withheld pending adv,2020
8271255,A7877,99/1108,"Correspondence files, Annual single number series - Senate Committees - Inquiries - Inquiry Submissions - Nos 70 to 85 East Timor Inq Foreign Affairs Defence & Trade Committee",1995 - 1999,1995-01-01,1999-01-01,Canberra,Closed,09 Jan 2020,2020-01-09,Parliament Class A,2020
8301830,A1209,1974/6394,South Pacific Forum - 6th Meeting,1975 - 1975,1975-01-01,1975-01-01,Canberra,Closed,14 Aug 2020,2020-08-14,Withheld pending adv,2020
8306649,A1209,1970/6119,Exercise of discipline over Australian service personnel in the USA [United States of America],1964 - 1969,1964-01-01,1969-01-01,Canberra,Closed,21 Sep 2020,2020-09-21,Withheld pending adv,2020
8320076,A1209,1985/337 PART 2,Prime Minister Honourable R J L Hawke visit to the United States of America and Belgium - February 1985 - Foreign Affairs Branch Aspects,1985 - 1985,1985-01-01,1985-01-01,Canberra,Closed,04 Dec 2020,2020-12-04,Withheld pending adv,2020
8320182,A1209,1985/414 PART 2,Stewart Royal Commission of Inquiry into Alleged Telephone Interceptions,1985 - 1986,1985-01-01,1986-01-01,Canberra,Closed,23 Oct 2020,2020-10-23,Withheld pending adv,2020
8729929,AWM347,188,[Directorate of Military Intelligence] VC - NVA [Viet Cong - North Vietnamese Army] Employment of Mines and Booby Traps - TIS-1 - Combined Intelligence Center Vietnam - 1970,1970 - 1970,1970-01-01,1970-01-01,Australian War Memorial,Closed,25 Aug 2020,2020-08-25,33(1)(e)(iii),2020
8910671,A1209,1984/1215 PART 1,Roxby Downs - Western Mining Corporation - Uranium venture,1984 - 1984,1984-01-01,1984-01-01,Canberra,Closed,20 Nov 2020,2020-11-20,Withheld pending adv,2020
9024090,A4311,701/7,Discussions Between United Kingdom Prime Minister (Mr Harold MacMillan) and Australian Ministers February 11 1958 - South and South East Asia - Brief for Australian Ministers,1958 - 1958,1958-01-01,1958-01-01,Canberra,Closed,08 Oct 2020,2020-10-08,Withheld pending adv,2020
9127700,A1209,1995/2243,Aum Shinrikyo sect activities OSIC,1995 - 1999,1995-01-01,1999-01-01,Canberra,Closed,07 Sep 2020,2020-09-07,Withheld pending adv,2020
9139235,A432,1993/1693 Part 1,Jose Ramos Horta and Jose Gusmao - Public interest and test case - High Court challenge to the Petrol Australia Indonesia Zone of Co-operation Act 1990 - Victoria,25 Jun 1993 - 23 Aug 1994,1993-06-25,1994-08-23,Canberra,Closed,04 Mar 2020,2020-03-04,Withheld pending adv,2020
9145516,A1209,1993/2188,Defence relations with Japan,1993 - 1993,1993-01-01,1993-01-01,Canberra,Closed,14 Feb 2020,2020-02-14,Withheld pending adv,2020
9146727,A1209,1992/3131,Australian involvement in Iraq,1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,22 Apr 2020,2020-04-22,Withheld pending adv,2020
9147135,A1209,1991/4613,Australian involvement in Iraq,1991 - 1992,1991-01-01,1992-01-01,Canberra,Closed,29 Jun 2020,2020-06-29,Withheld pending adv,2020
9147144,A1209,1993/855,Australian Aid to the South Pacific,1993 - 1996,1993-01-01,1996-01-01,Canberra,Closed,18 Nov 2020,2020-11-18,Withheld pending adv,2020
9450147,A8425,OSF2000/029170,"Miljanic, Radojka",30 May 2000 - 27 Jun 2002,2000-05-30,2002-06-27,Sydney,Closed,18 Jul 2018,2018-07-18,Closed period,2020
9486203,A425,C1993/12042,Coastwatch - Customs National Intelligence Committee - Coastwatch interests,1992 - 1995,1992-01-01,1995-01-01,Canberra,Closed,24 Feb 2020,2020-02-24,Withheld pending adv,2020
9491865,A8425,OSF2000/136983,"Tian, Zheng [Immigration file]",26 Jun 2000 - 17 Jan 2001,2000-06-26,2001-01-17,Sydney,Closed,21 Jun 2018,2018-06-21,Closed period,2020
9497157,A8425,OSF2000/031526,"MABOK, Cholok Ramadan [Immigration File]",05 Jun 2000 - 31 Aug 2001,2000-06-05,2001-08-31,Sydney,Closed,21 Jun 2018,2018-06-21,Closed period,2020
9497210,A8425,OSF2000/031980,"DUT KOU, Rachel Akur  [assisted migration - residence case file]",2000 - 2002,2000-01-01,2002-01-01,Sydney,Closed,18 Jul 2018,2018-07-18,Closed period,2020
9497296,A8425,OSF2001/034869,"MAIG, Aman Michael [Immigration File]",2000 - 2002,2000-01-01,2002-01-01,Sydney,Closed,03 Aug 2018,2018-08-03,Closed period,2020
