title,identifier,series,control_symbol,digitised_status,digitised_pages,access_status,access_decision_reasons,location,retrieved,contents_date_str,contents_start_date,contents_end_date,access_decision_date_str,access_decision_date,reasons
"MOUNSEY, Fred [aka Frederick] - Service Number - 3902",826378,PP863/1,H2524,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:07:58.208348+11:00,1954 - 1957,1954,1957,20 May 1996,1996-05-20,['33(1)(g)']
John Donald Langlands,827069,PP913/1,MX54298,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:07:59.587992+11:00,1916 - 1959,1916,1959,20 May 1996,1996-05-20,['33(1)(g)']
"HANLY, Theodore - Service Number - 897",827162,B73,M57592,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:08:00.681389+11:00,1915 - 1933,1915,1933,20 May 1996,1996-05-20,['33(1)(g)']
"MARSHALL, Lewis Winchester - Service Number - 119",827566,PP18/1,R3705,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:01.697144+11:00,1918 - 1950,1918,1950,20 May 1996,1996-05-20,['33(1)(g)']
Frederick Willison,827575,PP913/1,RX646 VOLUME 1,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:03.162531+11:00,1941 - 1957,1941,1957,20 May 1996,1996-05-20,['33(1)(g)']
Frederick Willison,827577,PP913/1,RX646 VOLUME 2,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:07.573525+11:00,1946 - 1959,1946,1959,20 May 1996,1996-05-20,['33(1)(g)']
"WOLFENDEN, Arthur William - Service Number - 613",827697,PP866/1,M23391,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:08.563067+11:00,1914 - 1992,1914,1992,20 May 1996,1996-05-20,['33(1)(g)']
James Harold WATSON,827701,PP913/1,M59898,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T14:08:10.459980+11:00,1915 - 1958,1915,1958,20 May 1996,1996-05-20,['33(1)(g)']
"RITCHIE, Ernest Avenal - Service Number - 3157",827800,PP18/1,R8354,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:11.908467+11:00,1946 - 1952,1946,1952,20 May 1996,1996-05-20,['33(1)(g)']
"WARD, David Henry - Service Number - 5462",827801,PP18/1,R12995,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:12.975673+11:00,1919 - 1953,1919,1953,20 May 1996,1996-05-20,['33(1)(g)']
Title exempt,829155,A1209,1960/725,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:14.076920+11:00,1960 - 1960,1960,1960,14 Jan 2015,2015-01-14,"['33(1)(a)', '33(1)(b)']"
"[Headquarters, Australian Force Vietnam (HQ AFV):] Compensation - General - Policy for claims by Vietnamese citizens",829687,AWM98,R201/1/3,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:08:15.018957+11:00,Apr 1968 - Sep 1969,1968-04,1969-09,05 Jun 2002,2002-06-05,['33(1)(g)']
"[Headquarters, Australian Force Vietnam (HQ AFV):] Conferences - General - Defence seminars",829983,AWM98,R220/1/16,False,0,Closed,['33(1)(a)'],Australian War Memorial,2022-01-01T14:08:15.986176+11:00,May 1967 - Jun 1967,1967-05,1967-06,05 Jun 2002,2002-06-05,['33(1)(a)']
"CUNNINGHAM, Edward Joseph - Service Number - 2461",831739,PP866/1,M11048,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:08:16.994990+11:00,1916 - 1964,1916,1964,20 May 1996,1996-05-20,['33(1)(g)']
Report of the SEATO [South East Asia Treaty organisation] communications - Electronics committee - Fifth meeting,832857,A1209,1961/891,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:17.982024+11:00,1961 - 1961,1961,1961,10 Jun 1992,1992-06-10,"['33(1)(a)', '33(1)(b)']"
Report of SEATO military advisers - 14th Conference,832913,A1209,1961/569,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:19.012881+11:00,1961 - 1961,1961,1961,11 Jun 1992,1992-06-11,"['33(1)(a)', '33(1)(b)']"
CPA [Communist Party of Australia] NSW - Austral Bronze branch,833140,A6122,1223,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']",Canberra,2022-01-01T14:08:20.027927+11:00,1949 - 1961,1949,1961,26 May 1992,1992-05-26,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']"
CPA [Communist Party of Australia] Victoria - Austral Bronze branch,833156,A6122,1224,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']",Canberra,2022-01-01T14:08:21.064027+11:00,1949 - 1961,1949,1961,26 May 1992,1992-05-26,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']"
"Gee, Danielle",835121,A446,1954/13707,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:08:22.071984+11:00,1954 - 1955,1954,1955,24 Jun 1992,1992-06-24,['33(1)(g)']
Soviet and Eastern Bloc teams participating in 1956 Olympics - Hungary Volume 1 1955 - 1956,837276,A6122,1251,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']",Canberra,2022-01-01T14:08:23.070444+11:00,1955 - 1956,1955,1956,25 Jul 2019,2019-07-25,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']"
Soviet and Eastern Bloc teams participating in 1956 Olympics - Hungary Volume 2 1956,837286,A6122,1252,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']",Canberra,2022-01-01T14:08:24.105252+11:00,1956 - 1956,1956,1956,25 Jul 2019,2019-07-25,"['33(1)(a)', '33(1)(d)', '33(1)(e)(i)', '33(1)(g)']"
"Cpt Edwin Dubrelle Weston, 12th Battalion T4926",838277,P694,MX2670,False,0,Closed,['33(1)(g)'],Hobart,2022-01-01T14:08:25.072990+11:00,1915 - 1964,1915,1964,03 Jun 1996,1996-06-03,['33(1)(g)']
"Private Roy Ludwig Bardenhagen, 12th Battalion 6535",838322,P130,R9328,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T14:08:26.040359+11:00,1916 - 1919,1916,1919,03 Jun 1996,1996-06-03,['33(1)(g)']
"Private Leslie Dornauf, 52th Battalion 3952",838325,P130,R1859,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T14:08:27.192532+11:00,1915 - 1924,1915,1924,03 Jun 1996,1996-06-03,['33(1)(g)']
"[Headquarters, Australian Force Vietnam (HQ AFV):] Reports - On military personnel - Report on [portion of title exempt] - 5 Coy RAASC [Royal Australian Army Service Corps] - Assault on female Vietnamese",839562,AWM98,R723/2/66,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:08:28.303226+11:00,1967 - 1967,1967,1967,03 Dec 2003,2003-12-03,['33(1)(g)']
"[Headquarters, Australian Force Vietnam (HQ AFV):] Reports - Military Personnel 1971 [portion of title exempt] 2 RAR [2nd Battalion Royal Australian Regiment]",840318,AWM98,R723/271/43,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:08:32.464946+11:00,1971 - 1971,1971,1971,14 Oct 2005,2005-10-14,['33(1)(g)']
Syria relations with Saudi Arabia,841364,A1838,TS205/11/27,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:33.506645+11:00,1957 - 1957,1957,1957,31 Aug 1994,1994-08-31,"['33(1)(a)', '33(1)(b)']"
China - Personalities - General,841434,A1838,TS490/6/1,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T14:08:34.497818+11:00,1955 - 1955,1955,1955,24 Jul 2015,2015-07-24,['33(1)(a)']
Middle East. Intelligence summaries.,841521,A1838,TS654/3/9,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:35.539156+11:00,1956 - 1956,1956,1956,10 Feb 1994,1994-02-10,"['33(1)(a)', '33(1)(b)']"
Special Intelligence - Joint Intelligence Committee - Six monthly review,841640,A1838,TS656/3/9,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:36.571624+11:00,1955 - 1956,1955,1956,03 Jul 1997,1997-07-03,"['33(1)(a)', '33(1)(b)']"
"[Headquarters, 1st Australian Task Force (HQ 1 ATF):] Accidents, Deaths and Casualties - General - Death of Private Pracy - TaiPeih [Tai Pei]",841768,AWM103,R1/1/7,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:08:37.563777+11:00,1966 - 1966,1966,1966,02 Apr 2003,2003-04-02,['33(1)(g)']
NATO,842132,A1838,TS684/3 PART 5,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T14:08:38.691353+11:00,1957 - 1962,1957,1962,12 Mar 2019,2019-03-12,['Withheld pending adv']
Joint Intelligence Committee - London Reports,842393,A1838,TS690/4/5 PART 1,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:39.730333+11:00,1958 - 1959,1958,1959,27 Oct 1997,1997-10-27,"['33(1)(a)', '33(1)(b)']"
Indonesia,842540,A1838,TS696/2/2 PART 7,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T14:08:40.751027+11:00,1958 - 1958,1958,1958,06 May 2014,2014-05-06,['Withheld pending adv']
Indonesia,842542,A1838,TS696/2/2 PART 8,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T14:08:41.751957+11:00,1958 - 1958,1958,1958,19 Dec 2013,2013-12-19,['Withheld pending adv']
Indonesia,842543,A1838,TS696/2/2 PART 9,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T14:08:43.048771+11:00,1958 - 1959,1958,1959,19 Dec 2013,2013-12-19,['Withheld pending adv']
Importance of Indonesia to Australia and regional defence,842580,A1838,TS696/3/8,False,0,Closed,"['33(1)(a)', 'Withheld pending adv']",Canberra,2022-01-01T14:08:47.760252+11:00,1957 - 1958,1957,1958,05 Jul 2013,2013-07-05,"['33(1)(a)', 'Withheld pending adv']"
Regional Defence Organisation - Pacific Area - General,842609,A1838,TS699/1 PART 1,False,0,Closed,['Withheld pending adv'],Canberra,2022-01-01T14:08:49.410740+11:00,1957 - 1967,1957,1967,04 Feb 2019,2019-02-04,['Withheld pending adv']
Joint Intelligence Committee weekly review of current intelligence on Middle East,842817,A1838,TS851/12/23,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:50.666894+11:00,1956 - 1957,1956,1957,31 Aug 1994,1994-08-31,"['33(1)(a)', '33(1)(b)']"
Commonwealth Prime Ministers Conference 1960 - Minutes and Proceedings [290pp],842916,A1838,TS899/6/6/1,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:51.913645+11:00,1960 - 1960,1960,1960,19 Oct 1998,1998-10-19,"['33(1)(a)', '33(1)(b)']"
United Nations Anglo Argentine Dispute - Falkland Islands,842923,A1838,TS917/2,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:53.023428+11:00,1946 - 1948,1946,1948,10 Dec 1993,1993-12-10,"['33(1)(a)', '33(1)(b)']"
Strategic planning in relation to British Commonwealth Defence - probable form and scale of attack against and within the ANZAM region to mid 1955.,850936,A2031,272/1953,False,0,Closed,"['33(1)(a)', '33(1)(b)']",Canberra,2022-01-01T14:08:54.294434+11:00,1953 - 1953,1953,1953,13 Sep 1992,1992-09-13,"['33(1)(a)', '33(1)(b)']"
"[Headquarters, 1st Australian Task Force (HQ 1 ATF):] Investigations - General. Accidental death, 313122 Private J G Stevens - 5 RAR [5 Battalion, Royal Australian Regiment], 23 January 1970",853102,AWM103,R478/1/147,False,0,Closed,[],Australian War Memorial,2022-01-01T14:08:55.341184+11:00,1970 - 1970,1970,1970,22 Jun 2009,2009-06-22,[]
Henry Clarence WILLIAMS [Repatriation medical file] [Box 1790],854519,C139,MX27873,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T14:08:57.013340+11:00,1940 - 1964,1940,1964,22 May 1996,1996-05-22,['33(1)(g)']
"Inglis, H A [reports on suitability as Research Officer]",856970,D1918,S2836,False,0,Closed,['33(1)(g)'],Adelaide,2022-01-01T14:08:58.037738+11:00,1949 - 1949,1949,1949,11 Dec 2000,2000-12-11,['33(1)(g)']
Director's memoranda re Home Office suspect index,856980,D1918,S2997,False,0,Closed,"['33(1)(a)', '33(1)(b)', '33(1)(d)']",Adelaide,2022-01-01T14:09:02.789029+11:00,1947 - 1947,1947,1947,02 Feb 1994,1994-02-02,"['33(1)(a)', '33(1)(b)', '33(1)(d)']"
"Monk, Percy Maxwell",860246,B26,MX6530 PART 1,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:09:03.797413+11:00,1941 - 1950,1941,1950,20 May 1996,1996-05-20,['33(1)(g)']
"Davies, Albert",860250,B73,H83729,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:09:04.841420+11:00,1921 - 1934,1921,1934,20 May 1996,1996-05-20,['33(1)(g)']
"Davies, Albert",860253,B73,M83729,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:09:05.881440+11:00,1919 - 1935,1919,1935,20 May 1996,1996-05-20,['33(1)(g)']
Edgar Samuel Lockyer,860888,PP911/1,MX65475,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T14:09:06.950170+11:00,1944 - 1965,1944,1965,20 May 1996,1996-05-20,['33(1)(g)']
Arnold Alexander Lockyer,860925,PP857/1,MBX47449,False,0,Closed,['33(1)(g)'],Sydney,2022-01-01T14:09:07.979877+11:00,1947 - 1960,1947,1960,20 May 1996,1996-05-20,['33(1)(g)']
"Bolton, William Albert No 4011",861289,B73,M89253 PART 1,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:09:09.073665+11:00,1915 - 1968,1915,1968,20 May 1996,1996-05-20,['33(1)(g)']
"[Headquarters, 1st Australian Task Force (HQ 1 ATF):] Investigations - General - Theft personnel items - [portion of title exempt] 1 Armoured Regiment",861964,AWM103,R478/1/381,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:09:10.279248+11:00,1971 - 1971,1971,1971,18 May 2007,2007-05-18,['33(1)(g)']
"Vernon, Robert James; No. 2432 [includes 'R' Repatriation file]",863754,B73,M97143,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:09:11.344318+11:00,1916 - 1945,1916,1945,20 May 1996,1996-05-20,['33(1)(g)']
"Vernon, Robert James; No. 2432",863784,B73,H97143,False,0,Closed,['33(1)(g)'],Melbourne,2022-01-01T14:09:12.337576+11:00,1929 - 1941,1929,1941,20 May 1996,1996-05-20,['33(1)(g)']
"REID, Charles Patrick - Service Number - 3025",867675,PP878/1,M10228 VOLUME 1,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:09:13.353126+11:00,1916 - 1956,1916,1956,20 May 1996,1996-05-20,['33(1)(g)']
"REID, Percy Constantine - Service Number - 5778",867676,PP866/1,H18925,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:09:14.373538+11:00,1932 - 1953,1932,1953,20 May 1996,1996-05-20,['33(1)(g)']
"MORRISH, David Richard - Service Number - 102",867893,PP18/1,R14100,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:09:15.402847+11:00,1919 - 1920,1919,1920,20 May 1996,1996-05-20,['33(1)(g)']
Antarctic policy 1958-1960,868631,A4940,C1952,False,0,Closed,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']",Canberra,2022-01-01T14:09:16.466067+11:00,1958 - 1960,1958,1960,11 Nov 2009,2009-11-11,"['33(1)(a)', '33(1)(b)', 'Withheld pending adv']"
Gerald Kenyon Dyer,871694,PP913/1,MX41337,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:09:17.902754+11:00,1941 - 1958,1941,1958,20 May 1996,1996-05-20,['33(1)(g)']
Neil Maxwell Graham,876624,PP913/1,MX5011,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:09:18.872322+11:00,1944 - 1961,1944,1961,20 May 1996,1996-05-20,['33(1)(g)']
Norman Denholm HARPER [44 folios],879021,A6126,144,False,0,Closed,"['33(1)(a)(d)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T14:09:19.957294+11:00,1951 - 1955,1951,1955,09 Aug 2019,2019-08-09,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']"
"Leckie, Charles - whereabouts enquired for by London Police [passport in the name of Matthew Stuart]",880795,D1915,SA859,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T14:09:21.021109+11:00,1923 - 1923,1923,1923,12 Jan 1993,1993-01-12,['33(1)(b)']
Frederick John Hatcher,881660,PP913/1,MX54239,False,0,Closed,['33(1)(g)'],Perth,2022-01-01T14:09:22.031773+11:00,1914 - 1960,1914,1960,20 May 1996,1996-05-20,['33(1)(g)']
"Oberlander, Albert Detlev - Millicent, SA - application for naturalization - German [investigation and report on nationality]",882182,D1915,SA935,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:23.097223+11:00,1923 - 1940,1923,1940,12 Jan 1993,1993-01-12,['33(1)(g)']
Mrs WANZEK - deceased - desire of Mrs MACEY to bring children to Australia,882195,D1915,SA1028,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T14:09:27.658580+11:00,1924 - 1943,1924,1943,12 Jan 1993,1993-01-12,['33(1)(a)']
KLESSIG Robert Oswin,882338,D1915,SA1260,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T14:09:28.681945+11:00,1925 - 1943,1925,1943,12 Jan 1993,1993-01-12,"['33(1)(e)(ii)', '33(1)(g)']"
"NICOLAE Alexandrie, Naturalization.",882715,D1915,SA1384,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:09:29.662515+11:00,1925 - 1925,1925,1925,12 Jan 1993,1993-01-12,['33(1)(e)(ii)']
"PEDERSEN Svend Aage,Naturalization",883811,D1915,SA1389,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:30.781091+11:00,1918 - 1925,1918,1925,12 Jan 1993,1993-01-12,['33(1)(g)']
"ISRAEL, Mardoch Naturalization",884023,D1915,SA1601,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:31.868406+11:00,1926 - 1940,1926,1940,12 Jan 1993,1993-01-12,['33(1)(g)']
[Records of 1 Australian Field Hospital (1 Aust Fd Hosp) - Vietnam] Debts - General,884311,AWM313,R254/1/1,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:09:33.129497+11:00,1969 - 1970,1969,1970,31 Mar 2015,2015-03-31,['33(1)(g)']
[Records of 1 Australian Field Hospital (1 Aust Fd Hosp) - Vietnam] Medical - Human Remains (Autopsy) Post Mortems - General,884485,AWM313,R506/4/1,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:09:34.134526+11:00,1969 - 1970,1969,1970,30 Jan 2003,2003-01-30,['33(1)(g)']
GOODE Mrs AK - delegate to Geneva conference,885006,D1915,SA1723,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T14:09:35.241134+11:00,1927 - 1927,1927,1927,12 Jan 1993,1993-01-12,['33(1)(a)']
McCLELLAN John - permit to leave Australia,885067,D1915,SA1731,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:36.299581+11:00,1927 - 1927,1927,1927,12 Jan 1993,1993-01-12,['33(1)(g)']
WAALKES Frederik Jan,885259,D1915,SA2065,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T14:09:37.365346+11:00,1928 - 1950,1928,1950,14 Jan 1993,1993-01-14,['33(1)(b)']
[2 Advanced Ordnance Depot (2 AOD):] Accidents - deaths and cas [casualties] - Weapons/Personnel - Depot Corporal W W Holman,885501,AWM328,R1/70/1,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:09:38.381382+11:00,Jan 1970 - Jan 1970,1970-01,1970-01,18 Sep 2008,2008-09-18,['33(1)(g)']
ISRAEL David M - naturalization,885502,D1915,SA1929,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:39.328440+11:00,1928 - 1937,1928,1937,12 Jan 1993,1993-01-12,['33(1)(g)']
[2 Advanced Ordnance Depot (2 AOD):] Accidents - deaths and casualties - Sergeant K Dunstall,885506,AWM328,R4/70/3,False,0,Closed,['33(1)(g)'],Australian War Memorial,2022-01-01T14:09:40.445162+11:00,May 1970 - Jun 1970,1970-05,1970-06,03 Oct 2008,2008-10-03,['33(1)(g)']
ROSING J Russian Trade Representative,885572,D1915,SA1947,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:41.567173+11:00,1928 - 1929,1928,1929,12 Jan 1993,1993-01-12,['33(1)(g)']
FISCHER George Paul - naturalisation,886564,D1915,SA2176,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:42.611774+11:00,1910 - 1929,1910,1929,18 Jan 1993,1993-01-18,['33(1)(g)']
"FREESTONE, Robert Cyril",886646,A6126,156,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T14:09:43.674809+11:00,1949 - 1964,1949,1964,20 Oct 2011,2011-10-20,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']"
WILCOURT WOM & McCAW RJ - amounts owing to Commonwealth Government Clothing Factory,886668,D1915,SA2214,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:44.680825+11:00,1929 - 1932,1929,1932,18 Jan 1993,1993-01-18,['33(1)(g)']
SERI Giacomo,886790,D1915,SA2300,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:09:45.754701+11:00,1942 - 1943,1942,1943,18 Jan 1993,1993-01-18,['33(1)(e)(ii)']
ALIKARIS Peter - naturalisation,886792,D1915,SA2386,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:46.790665+11:00,1930 - 1938,1930,1938,18 Jan 1993,1993-01-18,['33(1)(g)']
HADOW DP - alleged breach Air Navigation Regulations,886852,D1915,SA2493,False,0,Closed,['33(1)(d)'],Canberra,2022-01-01T14:09:47.809836+11:00,1930 - 1930,1930,1930,20 Jan 1993,1993-01-20,['33(1)(d)']
KALLINICOS Gerasimos - admission of son,886873,D1915,SA2456,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:52.184937+11:00,1930 - 1930,1930,1930,18 Jan 1993,1993-01-18,['33(1)(g)']
SECCIE Michele - naturalisation,886876,D1915,SA2439,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:53.240738+11:00,1929 - 1930,1929,1930,18 Jan 1993,1993-01-18,['33(1)(g)']
FACARIS Basilios Alexander - naturalization,886878,D1915,SA2460,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:54.247767+11:00,1930 - 1947,1930,1947,18 Jan 1993,1993-01-18,['33(1)(g)']
FERRARI Ernesto - naturalization,886902,D1915,SA2476,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:09:55.331168+11:00,1933 - 1945,1933,1945,18 Jan 1993,1993-01-18,['33(1)(e)(ii)']
BOND Joan - repatriation to England,886927,D1915,SA2565,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:09:56.405576+11:00,1930 - 1930,1930,1930,20 Jan 1993,1993-01-20,['33(1)(g)']
SARACINO Francesco Antonio - naturalisation and admission of son,887039,D1915,SA2628,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:09:57.373394+11:00,1941 - 1949,1941,1949,20 Jan 1993,1993-01-20,['33(1)(e)(ii)']
AZZOLINI Ilarione - enquiry re by Immigration,887752,D1915,SA2801,False,0,Closed,"['33(1)(b)', '33(1)(e)(ii)']",Canberra,2022-01-01T14:09:58.325240+11:00,1931 - 1953,1931,1953,20 Jan 1993,1993-01-20,"['33(1)(b)', '33(1)(e)(ii)']"
BLACK Lewis - naturalization,887845,D1915,SA2631,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:09:59.366363+11:00,1930 - 1930,1930,1930,20 Jan 1993,1993-01-20,['33(1)(e)(ii)']
GALWEY Edward - Australian birth ?,887879,D1915,SA2602,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:10:00.381787+11:00,1930 - 1930,1930,1930,20 Jan 1993,1993-01-20,['33(1)(g)']
KATTHAGEN Arthur,887953,D1915,SA2683,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T14:10:01.453030+11:00,1927 - 1930,1927,1930,20 Jan 1993,1993-01-20,['33(1)(b)']
SEITH Wolfram Friedrich,887974,D1915,SA2991,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:10:02.589096+11:00,1939 - 1946,1939,1946,26 Jan 1993,1993-01-26,['33(1)(e)(ii)']
MURRAY Mrs J - otherwise WESLEY Annie,887978,D1915,SA2622,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:10:03.667993+11:00,1928 - 1930,1928,1930,20 Jan 1993,1993-01-20,['33(1)(g)']
KNIGGE Ludwig Fritz Hermann - naturalization,888024,D1915,SA3046,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T14:10:04.834039+11:00,1939 - 1946,1939,1946,26 Jan 1993,1993-01-26,"['33(1)(e)(ii)', '33(1)(g)']"
WILLIAMSON Victor - naturalization,888026,D1915,SA2977,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:10:05.924032+11:00,1931 - 1940,1931,1940,26 Jan 1993,1993-01-26,['33(1)(e)(ii)']
RASCHELLA Vincenzo - naturalization,888110,D1915,SA3064,False,0,Closed,['33(1)(b)'],Canberra,2022-01-01T14:10:07.054698+11:00,1931 - 1950,1931,1950,26 Jan 1993,1993-01-26,['33(1)(b)']
Nancy Glen and Hector Alan MACDONALD,888150,A6126,170,False,0,Closed,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T14:10:08.070931+11:00,1939 - 1964,1939,1964,06 Aug 2012,2012-08-06,"['33(1)(a)', '33(1)(d)', '33(1)(e)(ii)', '33(1)(g)']"
DE GIOIA Sergio - naturalization,888173,D1915,SA3271,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:10:09.172992+11:00,1941 - 1947,1941,1947,29 Jan 1993,1993-01-29,['33(1)(e)(ii)']
VALENTE Domenico - naturalisation,888181,D1915,SA3262,False,0,Closed,['33(1)(e)(ii)'],Canberra,2022-01-01T14:10:10.162928+11:00,1942 - 1954,1942,1954,29 Jan 1993,1993-01-29,['33(1)(e)(ii)']
BOITCHEFF Georgi - naturalization,888225,D1915,SA3295,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:10:11.157598+11:00,1932 - 1946,1932,1946,29 Jan 1993,1993-01-29,['33(1)(g)']
PAPPAGALLO Francisco - admission of relative,888232,D1915,SA3405,False,0,Closed,['33(1)(g)'],Canberra,2022-01-01T14:10:12.128634+11:00,1933 - 1951,1933,1951,05 Feb 1993,1993-02-05,['33(1)(g)']
MARAFIOTI Francesco - naturalization,888240,D1915,SA3301,False,0,Closed,"['33(1)(e)(ii)', '33(1)(g)']",Canberra,2022-01-01T14:10:16.357387+11:00,1942 - 1950,1942,1950,29 Jan 1993,1993-01-29,"['33(1)(e)(ii)', '33(1)(g)']"
NEUMANN Victor - naturalization,888244,D1915,SA3303,False,0,Closed,['33(1)(a)'],Canberra,2022-01-01T14:10:17.315212+11:00,1932 - 1933,1932,1933,29 Jan 1993,1993-01-29,['33(1)(a)']
