identifier,series,control_symbol,title,series_title,contents_date_str,contents_start_date,contents_end_date,access_status,access_decision_date,reasons
426057,A6122,548,CP of A [Communist Party of Australia - State Committee Tasmania - Volume 2,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-09-09 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
426552,A6122,643,CP of A [Communist Party of Australia] - N.S.W. [New South Wales] - Newcastle District Metal Section,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-11-04 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
426553,A6122,644,CP of A [Communist Party of Australia] Sections N.S.W. Bankstown/Chullora Section,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-11-04 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
427513,A6122,516,CP of A [Communist Party of Australia] General Motors Holdens Fishermen's Bend Branch - Victoria,"Subject files, multiple number series",1954 - 1955,1954-01-01,1955-01-01,Closed,2009-10-16 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
427875,A6122,579,Communist Party of Australia ( CPA ) Newcastle / Hunter Valley ( Branch / District ) Volume 1,"Subject files, multiple number series",1939 - 1955,1939-01-01,1955-01-01,Closed,2012-02-02 00:00:00,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(e)(iii)
428845,P1436,T54/16335,"H.ALCORSO, O.ALCORSO, C. ALCORSO [modified title, original item title partially exempt]","Correspondence files (Criminal Investigation), annual single number series with ""T"" (Tasmania) prefix",1954 - 1967,1954-01-01,1967-01-01,Closed,1986-08-04 00:00:00,33(1)(g)|Closed period
429354,SP193/1,T45520,NO TITLE,"Policy, Procedure and Property files",01 Jan 1800 - 1950,1800-01-01,1950-01-01,Closed,1987-12-23 00:00:00,Pre Access Recorder
429431,A6122,710,C P of A [Communist Party of Australia] Queensland Ross River Meat Works Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-10-10 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429434,A6122,709,C P of A [Communist Party of Australia] Queensland Norman Park Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-10-10 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429436,A6122,708,C P of A [Communist Party of Australia] Queensland Charleville Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-12-01 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429438,A6122,705,C P of A [Communist Party of Australia] Queensland South Brisbane Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-12-01 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429439,A6122,704,C P of A Qld [Communist Party of Australia Queensland] Shipyards Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-12-01 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429441,A6122,703,C P of A [Communist Party of Australia] Queensland Toombul Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-12-01 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429446,A6122,700,C P of A [Communist Party of Australia] Queensland - Wilston/Grange Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-12-03 00:00:00,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g)
429449,A6122,698,C P of A [Communist Party of Australia] Queensland General Branch formerly known as Brisbane Hospital Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-12-01 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
429629,B73,MB57360,"Norman, Francis George - Margaret M, widow of -","Personal case files, World War I",1950 - 1977,1950-01-01,1977-01-01,Closed,1996-05-20 00:00:00,33(1)(g)
429736,B73,M23294,"Norman, Reginald Mavill","Personal case files, World War I",1919 - 1973,1919-01-01,1973-01-01,Closed,1996-05-20 00:00:00,33(1)(g)
429737,B73,M79819,"Chausen, Albert","Personal case files, World War I",1917 - 1982,1917-01-01,1982-01-01,Closed,1996-05-20 00:00:00,33(1)(g)
430831,F504,11,Census 1933 District J (Timber Creek),Correspondence files relating to 1933 Commonwealth Census,1933 - 1933,1933-01-01,1933-01-01,Closed,1997-10-20 00:00:00,33(1)(d)
431263,A6122,726,CPA Qld [Communist Party of Australia Queensland] - Cairns Queerah Meatworks Branch. [All 2 folios exempt],"Subject files, multiple number series",1949 - 1954,1949-01-01,1954-01-01,Closed,1998-03-18 00:00:00,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g)
431287,A6122,737,Communist Party of Australia - Queensland - Sergeants Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-02-04 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
431288,A6122,738,CP of A [Communist Party of Australia] - Branches Queensland - North Industrial Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-02-04 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
431289,A6122,739,CP of A [Communist Party of Australia] - Queensland Virginia Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-02-04 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
431763,A1838,TS686/4 PART 3,"Regional Defence. Pacific, East and South East Asia. ANZUS military machinery. (ANZUS Staff Planners, Military Advisers, etc.) [64pp]","Correspondence files, multiple number series [Main correspondence files series of the agency]",1953 - 1955,1953-01-01,1955-01-01,Closed,2012-03-27 00:00:00,33(1)(a)|33(1)(b)|Pre Access Recorder|Withheld pending adv
432043,A1838,3034/2/1 PART 2 ANNEX,Indonesia - Political - General,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1959 - 1959,1959-01-01,1959-01-01,Closed,2001-06-06 00:00:00,33(1)(a)|33(1)(b)
432471,M1001,NN,SPEECHES 1947-48,Speeches,1947 - 1948,1947-01-01,1948-01-01,Closed,1988-03-14 00:00:00,Pre Access Recorder
432473,M1001,NN,Old speech notes,Speeches,01 Jan 1800 - 01 Jan 1800,1800-01-01,1800-01-01,Closed,1988-03-14 00:00:00,Pre Access Recorder
432474,M1001,NN,Speeches and articles - post war,Speeches,1946 - 1946,1946-01-01,1946-01-01,Closed,1988-03-14 00:00:00,Pre Access Recorder
432475,M1004,NN,Liberal party federal,Parliamentary files,1943 - 1950,1943-01-01,1950-01-01,Closed,1988-03-14 00:00:00,Pre Access Recorder
432515,PP6/1,1950/H/218,Cunderdin Holding Centre - Official Investigation,"Correspondence files [subject and client],  annual single number series with 'H' infix",1950 - 1950,1950-01-01,1950-01-01,Closed,1988-03-22 00:00:00,33(1)(g)
433553,C945,G1957/6 PART 2,6th World Power Conference Australia 1962 Australian Atomic Energy Commission,"Correspondence files, annual single number series with 'G' [general] prefix",1959 - 1960,1959-01-01,1960-01-01,Closed,1988-01-15 00:00:00,33(1)(g)
433556,C945,G1957/189 PART 2,Australian Institute of Nuclear Science and Engineering Headquarters building Australian Atomic Energy Commission,"Correspondence files, annual single number series with 'G' [general] prefix",1958 - 1960,1958-01-01,1960-01-01,Closed,1988-01-15 00:00:00,33(1)(g)
434279,A5954,1793/4,"Prime Minister's Visit Abroad, May 1952. Cabled Reports","'The Shedden Collection' [Records collected by Sir Frederick Shedden during his career with the Department of Defence and in researching the history of Australian Defence Policy], two number series",1952 - 1952,1952-01-01,1952-01-01,Closed,2014-08-27 00:00:00,Withheld pending adv
437119,A1209,1962/708,Discussions with US Secretary of State re military aid to Vietnam,"Correspondence files, annual single number series [classified] with occasional C [classified] suffix [Main correspondence files series of the agency]",1962 - 1962,1962-01-01,1962-01-01,Closed,2010-01-18 00:00:00,Withheld pending adv
437497,A6119,276,"CHRISTESEN, Clement Byrne - Part 2","Personal files, alpha-numeric series",1949 - 1954,1949-01-01,1954-01-01,Closed,2012-09-12 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
437504,A6119,277,"CHRISTESEN, Clement Byrne Part 3","Personal files, alpha-numeric series",1955 - 1956,1955-01-01,1956-01-01,Closed,2012-09-12 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
439377,AP501/2,196,P CARBONE,Correspondence Records (Confidential),1933 - 1944,1933-01-01,1944-01-01,Closed,1988-05-30 00:00:00,Pre Access Recorder
439381,AP501/2,111,G PUCCINI,Correspondence Records (Confidential),1929 - 1944,1929-01-01,1944-01-01,Closed,1988-05-30 00:00:00,33(1)(g)
440653,MP114/1,JENKYN F A,"L. Sto. JENKYN, F A 595 : Medical History.",,1918 - 1918,1918-01-01,1918-01-01,Closed,1997-01-30 00:00:00,33(1)(g)
440734,A1838,69/1/1/4/4 PART 12,USSR - Foreign policy - United Kingdom reports - Trends of Communist Propaganda and Policy,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1965 - 1966,1965-01-01,1966-01-01,Closed,2011-02-25 00:00:00,Withheld pending adv
441046,MT297/1,KLEEHAMMER/J,"Pay history card of Private J. Kleehammer, Reg No 2785, 45th Bn.","Pay ledger cards of ex-servicemen (returned to Australia) of 1914-1918 War who enlisted in Victoria, alphabetical series",1916 - 1920,1916-01-01,1920-01-01,Closed,1988-07-12 00:00:00,33(1)(g)
441156,A6122,812,Communist Party of Australia (Victoria) - Heidelberg,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441170,A6122,783,Communist Party of Australia. NSW Front Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441172,A6122,781,Communist Party of Australia. NSW Newcastle South Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441173,A6122,780,Communist Party of Australia. NSW Redfern Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441176,A6122,777,Communist Party of Australia. NSW East Bankstown Branch,"Subject files, multiple number series",1955 - 1955,1955-01-01,1955-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441179,A6122,774,Communist Party of Australia. NSW Cockatoo Dock Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441180,A6122,773,Communist Party of Australia. NSW Ross Street Technical College Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441181,A6122,772,Communist Party of Australia. NSW Matraville/La Perouse Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441187,A6122,766,Communist Party of Australia - NSW Star Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441195,A6122,757,"Communist Party of Australia. Branches NSW, TAA Branch","Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441196,A6122,756,"Communist Party of Australia. Branches NSW, West Mascot Branch","Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441197,A6122,755,"Communist Party of Australia. Branches NSW, East Mascot Branch","Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441199,A6122,753,Communist Party of Australia. NSW Bunnerong Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441202,A6122,750,Communist Party of Australia. NSW Sutherland Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-07-13 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
441427,A3411,48,South-East Asia Treaty Organisation. Second Meeting of the Council of Ministers held at Karachi (from 6-8 March 1956),SEATO documents maintained by the military plans and operations staff,1956 - 1956,1956-01-01,1956-01-01,Closed,1990-10-31 00:00:00,33(1)(a)|33(1)(b)
441428,A3411,49,"South-East Asia Treaty Organisation. Report of the Council Representatives to the Council, March 1956",SEATO documents maintained by the military plans and operations staff,1956 - 1956,1956-01-01,1956-01-01,Closed,1990-10-31 00:00:00,33(1)(a)|33(1)(b)
441429,A3411,50,SEATO Council 1957 Canberra. Daily verbatim record.,SEATO documents maintained by the military plans and operations staff,1957 - 1957,1957-01-01,1957-01-01,Closed,1990-10-31 00:00:00,33(1)(a)|33(1)(b)
441430,A3411,51,"South-East Asia Treaty Organisation. Supplement to the Report of the Council Representatives to the Council, March 1957",SEATO documents maintained by the military plans and operations staff,1957 - 1957,1957-01-01,1957-01-01,Closed,1990-10-31 00:00:00,33(1)(a)|33(1)(b)
441431,A3411,151,"South-East Asia Collective Defence Treaty. Report of Logistics Ad Hoc Sub-committee Meeting, Melbourne, Australia, August 1955",SEATO documents maintained by the military plans and operations staff,1955 - 1955,1955-01-01,1955-01-01,Closed,1990-10-31 00:00:00,33(1)(a)|33(1)(b)
441432,A3411,4,"SEATO [South-East Asia Treaty Organisation]. Second Meeting of the Committee of Economic Experts, Bangkok, Thailand, 12-18 January 1956",SEATO documents maintained by the military plans and operations staff,1956 - 1956,1956-01-01,1956-01-01,Closed,1991-03-04 00:00:00,33(1)(a)|33(1)(b)
441496,A5462,510/4/4,[US government] and OIR reports to Department of External Affairs,"Secret/Top Secret correspondence files, multiple number series (third system) (Washington)",02 Aug 1956 - 20 Dec 1957,1956-08-02,1957-12-20,Closed,1990-02-06 00:00:00,33(1)(a)|33(1)(b)
441514,A6122,634,Communist Party of Australia - Queensland - City Section,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-02-04 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
442193,SP1237/1,NX94329,Neville Thomas Kidd Medical Documents Australian Military Force,,1942 - 1946,1942-01-01,1946-01-01,Closed,1988-07-18 00:00:00,33(1)(d)|33(1)(g)
442601,A1838,TS686/4 PART 5,ANZUS Military Machinery,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1956 - 1957,1956-01-01,1957-01-01,Closed,1991-08-02 00:00:00,33(1)(a)|33(1)(b)
442995,A816,25/301/508,United States - Australia security agreements. Information released through UK.,"Correspondence files, multiple number series [Classified 301] [Main correspondence files series of the agency]",1951 - 1957,1951-01-01,1957-01-01,Closed,2015-01-29 00:00:00,33(1)(a)|Withheld pending adv
443267,D1915,SA10209,"STEIN,Maxwell Keich & Nancy Fay Air Force Dependant allowance","Investigation case files, single number series with 'SA' (South Australia) prefix",1943 - 1963,1943-01-01,1963-01-01,Closed,1981-01-16 00:00:00,Pre Access Recorder
443269,D1915,SA15136,"GOULD, James etc.","Investigation case files, single number series with 'SA' (South Australia) prefix",1947 - 1949,1947-01-01,1949-01-01,Closed,1981-01-16 00:00:00,Pre Access Recorder
443618,AP114/3,R19/2,Failures committee,Commonwealth Reconstruction Training Scheme [CRTS] (Policy & Procedure Files),1946 - 1951,1946-01-01,1951-01-01,Closed,1988-09-19 00:00:00,33(1)(j)
444447,E68,DP723,"[modified title - name exempted] Deputy Commonwealth Crown Solicitor, Native Affairs Department, adoption of part aboriginal youth","Correspondence files, ""DP"" single number series",1950 - 1952,1950-01-01,1952-01-01,Closed,1995-06-02 00:00:00,33(1)(g)
444571,A6122,623,Communist Party of Australia - Tasmania Launceston Rail Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1987-10-29 00:00:00,33(1)(a)
444573,A6122,680,CPA [Communist Party of Australia] Branches Queensland - Ekibin Branch,"Subject files, multiple number series",1949 - 1949,1949-01-01,1949-01-01,Closed,1988-11-02 00:00:00,33(1)(a)
444700,MP171/9,1,"Register of vessels cleared, Port of Melbourne, 1 June 1925 - 30 December 1930.",Register of vessels cleared,01 Jan 1925 - 31 Dec 1930,1925-01-01,1930-12-31,Closed,1988-11-08 00:00:00,33(1)(g)
444706,MP171/5,8,"Ships' registers - arrivals and departures, Melbourne","Ships' registers, arrivals and departures for the Port of Melbourne",17 Mar 1923 - 09 Jun 1925,1923-03-17,1925-06-09,Closed,1988-11-09 00:00:00,33(1)(g)
444707,MP171/5,9,"Ships' registers - arrivals and departures, Melbourne","Ships' registers, arrivals and departures for the Port of Melbourne",10 Jun 1925 - 30 Jun 1927,1925-06-10,1927-06-30,Closed,1988-11-09 00:00:00,33(1)(g)
445107,A816,14/301/540,Probable form and scale of attack against Malaya - Joint Intelligence assessment,"Correspondence files, multiple number series [Classified 301] [Main correspondence files series of the agency]",1953 - 1954,1953-01-01,1954-01-01,Closed,1991-04-12 00:00:00,33(1)(a)|33(1)(b)
445483,A4624,NN,HMAS Penguin quarter ended 31/3/39,"Ships' Ledgers, HMAS Ships",1939 - 1939,1939-01-01,1939-01-01,Closed,1988-10-12 00:00:00,33(1)(g)
445484,A4624,NN,"HMAS Penguin, quarter ended 31/12/38","Ships' Ledgers, HMAS Ships",1938 - 1938,1938-01-01,1938-01-01,Closed,1988-10-12 00:00:00,33(1)(g)
445485,A4624,NN,"HMAS Penguin, quarter ended 30/6/39","Ships' Ledgers, HMAS Ships",1939 - 1939,1939-01-01,1939-01-01,Closed,1988-10-12 00:00:00,33(1)(g)
445917,A1838,TS100/2/2,[Title exempt],"Correspondence files, multiple number series [Main correspondence files series of the agency]",1954 - 1983,1954-01-01,1983-01-01,Closed,2015-03-31 00:00:00,33(1)(a)
445921,A10872,100/1/8,"Australian service in wartime [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1952 - 1981,1952-01-01,1981-01-01,Closed,1988-11-21 00:00:00,33(1)(a)|Closed period
445923,A10872,100/1/5,"Australian Service - Organisation questions [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1957 - 1958,1957-01-01,1958-01-01,Closed,1988-11-21 00:00:00,33(1)(a)|Closed period
446185,A816,25/301/505,Intelligence representation - Washington,"Correspondence files, multiple number series [Classified 301] [Main correspondence files series of the agency]",1951 - 1955,1951-01-01,1955-01-01,Closed,2015-02-02 00:00:00,Withheld pending adv
446310,A6122,793,CPA [Communist Party of Australia] - NSW - Teachers College Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-09 00:00:00,33(1)(a)
446314,A6122,798,CPA [Communist Party of Australia] - NSW - Repairs Branch,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1988-12-09 00:00:00,33(1)(a)
446322,A6122,837,Communist Party of Australia - (South Australia) Glenunga Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446385,A6122,838,Communist Party of Australia - (South Australia) Queenstown,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446386,A6122,839,Communist Party of Australia - (South Australia) Adelaide Steamship Company,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446388,A6122,841,Communist Party of Australia - South Australia. West Adelaide Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446389,A6122,842,Communist Party of Australia - South Australia. Eastwood Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446391,A6122,844,Communist Party of Australia - South Australia. Unley Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446392,A6122,845,Communist Party of Australia - South Australia. Edwardstown,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446393,A6122,846,Communist Party of Australia - Industrial Branch - South Australia,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446394,A6122,847,Communist Party of Australia - South Australia - ICI Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446397,A6122,850,Communist Party of Australia - South Australia - Waterfront Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446399,A6122,852,Communist Party of Australia - South Australia - Hillcrest Branch,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446400,A6122,853,Communist Party of Australia - South Australia - Birkenhead,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446401,A6122,854,Communist Party of Australia Plans for operations - Tasmania,"Subject files, multiple number series",1949 - 1957,1949-01-01,1957-01-01,Closed,1988-12-07 00:00:00,33(1)(a)
446444,D363,H10576,PM WILSON [Box 898],"Personal case files (1914-1918 war), single number series with ""M"" (medical), ""C"" (pension), and ""H"" (hospital) prefix,",1955 - 1961,1955-01-01,1961-01-01,Closed,1988-11-11 00:00:00,33(1)(g)
446700,A1838,100/12/7,Circulation of Material (Including External Affairs Requirements),"Correspondence files, multiple number series [Main correspondence files series of the agency]",1953 - 1964,1953-01-01,1964-01-01,Closed,1988-12-13 00:00:00,33(1)(a)|Closed period
446701,A10872,100/1/9,"Australian Service Reserve Training in peace [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1954 - 1980,1954-01-01,1980-01-01,Closed,1988-12-13 00:00:00,33(1)(a)|Closed period
446702,A10872,100/1/6,"The Director - Terms and conditions of employment - General policy file [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1954 - 1980,1954-01-01,1980-01-01,Closed,1988-12-13 00:00:00,33(1)(a)|Closed period
446703,A10872,100/1/4,"Staff questions arising from change in method of working [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1957 - 1980,1957-01-01,1980-01-01,Closed,1988-12-13 00:00:00,33(1)(a)|Closed period
446704,A10872,100/1/1 PART 2,"Australian Service : Charter and Functions, Part 2 [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1957 - 1964,1957-01-01,1964-01-01,Closed,1988-12-13 00:00:00,33(1)(a)|Closed period
446705,A10872,100/1/1 PART 1,"Australian Service : Charter and Functions, Part 1 [Australian Secret Intelligence Service, ASIS]","Correspondence files, multiple number system with primary numbers 100-140",1952 - 1957,1952-01-01,1957-01-01,Closed,1988-12-13 00:00:00,33(1)(a)
447552,C139,RX234697,"RIMMER, John Henry [Repatriation case file] [1cm; box 7108]","Personal case files, single number series with 'X' prefix (Australian, 1939-1945 War)",1939 - 1964,1939-01-01,1964-01-01,Closed,1996-05-22 00:00:00,33(1)(g)
447981,MP742/1,85/1/152,Psychological reports - various offenders,"General and civil staff correspondence files and Army personnel files, multiple number series",1943 - 1943,1943-01-01,1943-01-01,Closed,1989-01-10 00:00:00,33(1)(g)
448381,MP159/1,27/1/44,Military training - alleged evasion of periods in camp - Miss J Cottee,"Correspondence files, Chief Military Adviser",1941 - 1941,1941-01-01,1941-01-01,Closed,1989-01-26 00:00:00,33(1)(d)
448430,J1889,BL43895/19,[A Report by Sir William Webb on Japanese Atrocities]. [Completed questionnaires - evidence given].,"Correspondence files, single number series with 'BL' [Brisbane Legal] prefix",1943 - 1943,1943-01-01,1943-01-01,Closed,1988-07-19 00:00:00,33(1)(g)
448538,J1889,BL43895/16,[Report by Sir William Webb on Japanese Atrocities] Witnesses File [held by Mr.K.G.Brennan],"Correspondence files, single number series with 'BL' [Brisbane Legal] prefix",1943 - 1943,1943-01-01,1943-01-01,Closed,1988-07-19 00:00:00,33(1)(g)
448540,J1889,BL43895/15,[Report by Sir William Webb on Japanese Atrocities] Lists of Witnesses etc [and evidence taken by Mr Sexton],"Correspondence files, single number series with 'BL' [Brisbane Legal] prefix",1943 - 1943,1943-01-01,1943-01-01,Closed,1988-07-19 00:00:00,33(1)(g)
448583,SP1714/1,N61439,Danish and other suspects,"Investigation files, single number series with 'N' [New South Wales] prefix",1942 - 1945,1942-01-01,1945-01-01,Closed,2006-10-11 00:00:00,33(1)(a)
449029,A816,25/301/496,Exchange of Intelligence Information with United States,"Correspondence files, multiple number series [Classified 301] [Main correspondence files series of the agency]",1949 - 1952,1949-01-01,1952-01-01,Closed,1989-12-15 00:00:00,33(1)(a)|Withheld pending adv
449030,A816,25/301/608,Exchange of Defence Information between Canada and Australia,"Correspondence files, multiple number series [Classified 301] [Main correspondence files series of the agency]",1954 - 1957,1954-01-01,1957-01-01,Closed,2015-01-29 00:00:00,33(1)(a)|Withheld pending adv
450910,A1838,1495/9/1 PART 2,Antarctica - Japanese interests [3cm],"Correspondence files, multiple number series [Main correspondence files series of the agency]",1962 - 1969,1962-01-01,1969-01-01,Closed,2010-08-02 00:00:00,33(1)(a)|Withheld pending adv
450919,A1838,1495/3/2/1/9,Antarctica. Australian interests. Legal position and administration. General policy. Jurisdiction.,"Correspondence files, multiple number series [Main correspondence files series of the agency]",1958 - 1970,1958-01-01,1970-01-01,Closed,2011-07-08 00:00:00,Withheld pending adv
451128,A6122,1183,Union of Australian women - Queensland Volume 4,"Subject files, multiple number series",1957 - 1957,1957-01-01,1957-01-01,Closed,1989-03-07 00:00:00,33(1)(a)|33(1)(d)|33(1)(g)
451165,A6119,296,Edward George ROBERTSON Volume 3,"Personal files, alpha-numeric series",1949 - 1959,1949-01-01,1959-01-01,Closed,2011-06-21 00:00:00,33(1)(a)|33(1)(d)|33(1)(e)(ii)|33(1)(g)
451183,A6122,827,Communist Party of Australia - Victoria - BALWYN branch,"Subject files, multiple number series",1947 - 1956,1947-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451184,A6122,828,Communist Party of Australia - Victoria - Burwood branch,"Subject files, multiple number series",1947 - 1956,1947-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451192,A6122,866,CPA [Communist Party of Australia] (Western Australia) - Claremont Branch,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451193,A6122,867,CPA [Communist Party of Australia] (Western Australia) - Applecross branch,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451194,A6122,868,CPA [Communist Party of Australia] - (Western Australia) - South Perth branch,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451195,A6122,869,CPA [Communist Party of Australia] - (Western Australia) - Kalamunda branch,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451196,A6122,870,CPA [Communist Party of Australia] - (Western Australia) - Leederville Branch,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
451199,A6122,873,Tasmania - Public meetings,"Subject files, multiple number series",1949 - 1956,1949-01-01,1956-01-01,Closed,1989-03-02 00:00:00,33(1)(a)
